teacher_id,first_name,last_name,hire_date,email,phone_number,salary
1,Abigail,Cochran,2021-06-21,Abigail_Cochran@northwood.com,749.273.7210x63533,93418.73
2,Bobby,Skinner,2022-10-21,Bobby_Skinner@northwood.com,2057385537,102533.03
3,Mary,Duncan,2021-10-19,Mary.Duncan@northwood.com,+1-683-663-0062x0897,53930.79
4,Jessica,Cooper,2025-06-06,Jessica.Cooper@northwood.com,001-984-271-5294x74626,60323.02
5,Tammy,Mason,2021-01-12,Tammy_Mason@northwood.com,589-913-5574x14146,50601.22
6,Madison,Kelly,2020-03-28,Madison_Kelly@northwood.com,001-501-849-3364,78316.7
7,Derek,Lawrence,2020-06-23,Derek_Lawrence@northwood.com,525-696-9317x0420,110719.97
8,Angel,Bryant,2024-04-17,Angel_Bryant@northwood.com,(537)306-6341x43494,64133.76
9,Carrie,Combs,2023-06-13,Carrie_Combs@northwood.com,973-371-1801x25607,101039.9
10,Brandon,Fernandez,2025-07-01,Brandon_Fernandez@northwood.com,(832)213-7428,111765.35
11,Miguel,Gonzalez,2025-08-31,Miguel_Gonzalez@northwood.com,(891)557-0076x84534,78296.95
12,Victor,Baker,2025-07-22,Victor.Baker@northwood.com,3233566097,113224.03
13,Ricky,Bryant,2025-08-19,Ricky_Bryant@northwood.com,936-727-1429,115915.42
14,Ellen,Cooper,2021-02-11,Ellen_Cooper@northwood.com,+1-836-482-9908x570,50643.78
15,Brianna,Rodriguez,2025-05-03,Brianna.Rodriguez@northwood.com,+1-456-632-2043x1275,53231.64
16,Cheryl,Murray,2020-04-10,Cheryl.Murray@northwood.com,674-242-6144x4535,81547.34
17,Cassandra,Matthews,2021-04-01,Cassandra_Matthews@northwood.com,(376)795-3682,69444.65
18,Randy,Waters,2025-06-30,Randy_Waters@northwood.com,980.777.5853x478,117596.86
19,Scott,Miller,2025-05-06,Scott_Miller@northwood.com,(838)291-0768x973,52499.0
20,Johnny,Guzman,2023-06-19,Johnny.Guzman@northwood.com,588.230.7003,74764.94
21,Sarah,Kemp,2024-06-22,Sarah_Kemp@northwood.com,2355063715,70167.74
22,Jonathan,Cook,2021-02-25,Jonathan.Cook@northwood.com,(398)387-2194,73949.89
23,Stephanie,Lester,2025-02-18,Stephanie_Lester@northwood.com,677-713-3490x51634,111375.82
24,Brandon,Rodriguez,2023-03-13,Brandon_Rodriguez@northwood.com,775-363-2703x10931,62743.73
25,Todd,Price,2023-02-14,Todd_Price@northwood.com,001-635-280-6534x464,67529.23
26,Melissa,Bishop,2022-11-03,Melissa_Bishop@northwood.com,335.991.1103x01577,80855.5
27,Adam,Green,2021-01-18,Adam.Green@northwood.com,001-776-396-4945x58022,113242.15
28,Ryan,Nelson,2022-01-23,Ryan.Nelson@northwood.com,645.305.9920,88226.29
29,Eric,Hanson,2024-10-21,Eric_Hanson@northwood.com,(379)995-2642x476,107330.05
30,Kenneth,Brown,2025-10-04,Kenneth.Brown@northwood.com,001-681-697-9208x68992,111605.68
31,Andrew,Stein,2021-12-24,Andrew_Stein@northwood.com,+1-441-789-0200x20221,54362.73
32,Michael,Lang,2025-05-15,Michael_Lang@northwood.com,+1-627-530-6856x18133,88386.79
33,Colin,Brewer,2023-02-26,Colin_Brewer@northwood.com,965.966.0964,51981.3
34,Jessica,Gaines,2025-10-25,Jessica_Gaines@northwood.com,283-964-6079x98315,63459.48
35,John,Snyder,2022-01-03,John.Snyder@northwood.com,001-364-427-1209x5689,94834.82
36,Laura,Hall,2020-02-15,Laura.Hall@northwood.com,603.907.8318x20968,80407.6
37,Terry,Allen,2021-03-01,Terry.Allen@northwood.com,001-794-493-7687,71572.76
38,Tara,Davis,2021-10-12,Tara.Davis@northwood.com,812.249.3893,86644.08
39,Zachary,Williams,2022-06-06,Zachary_Williams@northwood.com,261.578.5946x76200,59910.56
40,Vanessa,Jones,2025-02-07,Vanessa_Jones@northwood.com,(317)377-9835,81781.8
41,Melanie,Webb,2020-10-20,Melanie.Webb@northwood.com,377.407.8738,66502.61
42,Angela,Coleman,2020-04-19,Angela_Coleman@northwood.com,(212)327-0539x840,93206.35
43,Cindy,Walton,2024-09-19,Cindy.Walton@northwood.com,2507397727,68370.23
44,Michael,Bennett,2023-06-11,Michael.Bennett@northwood.com,392.363.4657,53007.75
45,Joseph,Diaz,2020-07-09,Joseph.Diaz@northwood.com,001-552-743-3556x879,105578.1
46,Jack,Carpenter,2022-06-13,Jack_Carpenter@northwood.com,(758)918-8865,111838.6
47,Katherine,Hill,2024-10-14,Katherine_Hill@northwood.com,703.879.1061x4378,53452.15
